,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19400713,   0.80,   0.23,  -0.08,  -0.54,   0.27,  -0.01,   0.21,  -0.06,   0.19,  -0.09
19400715,  -0.63,   0.60,  -0.08,   0.04,   0.36,   0.83,   0.58,   0.09,   0.24,   0.20
19400716,   0.92,   1.58,   1.12,   2.30,   1.51,   0.90,   1.27,   0.73,   0.35,   1.03
19400717,  -1.37,   0.37,  -0.82,  -1.11,   0.11,   0.41,  -0.60,  -0.34,   0.05,   0.11
19400718,   0.05,  -0.49,  -0.39,  -0.35,   0.74,   0.12,  -0.05,   0.17,   0.59,  -0.01
19400719,  -0.95,  -0.84,  -0.70,  -1.22,  -0.59,  -0.80,  -0.88,  -0.48,  -0.29,  -0.42
19400720,  -0.98,  -0.12,  -0.16,   0.41,  -0.34,  -0.43,  -0.25,   0.03,  -0.44,  -0.44
19400722,  -0.21,  -0.03,   0.32,   0.02,   0.16,   0.38,  -0.08,  -0.35,  -0.19,   0.02
19400723,   0.30,  -0.56,  -0.23,  -0.45,  -0.02,   0.13,   0.38,   0.15,   0.05,   0.08
19400724,  -1.36,  -0.70,  -0.44,  -1.18,   0.13,  -0.69,  -0.44,  -0.37,  -0.20,  -0.62
19400725,  -0.25,  -0.53,   0.55,   0.37,   0.22,   0.47,   0.20,  -0.06,  -0.43,   0.31
19400726,   0.90,   0.80,   0.72,   0.35,   0.57,   0.65,   0.60,   0.03,   0.17,   0.15
19400727,   0.40,   0.44,   0.12,   0.44,   0.23,  -0.05,   0.31,   0.00,   0.27,   0.26
19400729,   0.29,   0.77,   0.93,   1.17,   0.61,   0.89,   0.49,   0.56,   0.14,   0.08
19400730,   5.24,   4.66,   4.75,   3.31,   2.69,   2.71,   2.13,   1.82,   1.21,   1.39
19400731,  -0.12,  -1.39,  -0.46,   0.03,  -0.37,   0.18,  -0.69,  -0.17,   0.56,   0.23
19400801,  -1.10,  -0.27,  -0.33,  -0.41,  -0.55,   0.09,  -0.14,   0.39,  -0.14,  -0.06
19400802,   0.08,  -0.53,   0.08,   0.13,   0.13,  -0.19,  -0.10,   0.00,   0.14,   0.11
19400803,   0.27,   0.07,   0.64,  -0.28,   0.12,   0.55,   0.02,  -0.02,   0.01,  -0.16
19400805,   0.18,  -1.24,  -0.85,  -0.70,   0.20,  -0.48,   0.28,  -0.02,  -0.07,   0.01
19400806,  -1.81,  -1.24,  -1.27,  -1.38,  -1.27,  -0.97,  -0.85,  -0.48,  -0.27,  -0.51
19400807,  -0.89,  -0.32,  -0.54,   0.10,   0.03,  -0.63,   0.26,  -0.19,  -0.23,  -0.05
19400808,  -0.42,   0.49,  -0.44,   0.01,   0.28,   0.22,   0.16,  -0.03,   0.21,   0.30
19400809,   0.88,   1.19,   0.44,   0.68,   0.31,   1.26,   1.24,   0.49,   0.17,   0.42
19400810,   1.16,   0.80,   0.45,   1.00,   0.31,   0.90,   1.58,   0.23,  -0.06,   0.16
19400812,  -1.43,  -0.09,   0.10,   0.33,   0.44,   0.10,  -0.21,   0.68,   0.22,   0.09
19400813,  -4.51,  -5.26,  -3.75,  -4.64,  -3.81,  -4.09,  -3.48,  -2.64,  -1.75,  -3.03
19400814,  -0.45,  -0.23,   0.15,  -0.26,   0.31,   0.09,  -0.85,  -0.54,  -0.53,  -0.46
19400815,   0.46,   1.11,   1.09,   0.86,   0.70,   0.42,   1.01,   0.58,   0.13,   0.59
19400816,  -2.08,  -2.48,  -2.33,  -1.68,  -1.71,  -1.80,  -1.70,  -1.24,  -0.78,  -0.66
19400817,   0.87,   1.26,   1.34,   1.02,   1.37,   0.96,   0.90,   0.69,   0.17,   0.05
19400819,  -0.56,   0.77,  -0.36,   0.20,  -0.42,  -0.01,  -0.16,   0.10,   0.25,  -0.03
19400820,   1.63,   1.16,   1.78,   1.36,   0.45,   1.08,   1.49,   0.81,   0.56,   0.53
19400821,   2.17,   2.92,   1.38,   2.38,   2.18,   1.45,   1.45,   1.11,   0.65,   1.35
19400822,   0.95,   0.69,   1.15,   1.52,   0.31,   1.38,   0.77,   1.04,   0.56,   0.39
19400823,  -2.06,  -2.01,  -1.44,  -1.99,  -1.13,  -1.31,  -1.37,  -0.94,  -0.40,  -1.01
19400824,   0.39,   0.24,   0.81,   0.33,   0.06,   0.56,   0.20,  -0.04,   0.07,   0.38
19400826,  -0.62,   0.03,  -0.43,   0.60,   0.13,  -0.02,   0.15,   0.13,  -0.11,   0.25
19400827,  -0.15,   0.49,   0.13,  -0.01,  -0.34,  -0.18,  -0.03,   0.00,  -0.23,  -0.36
19400828,   2.69,   2.46,   2.61,   1.21,   2.42,   1.08,   1.20,   1.01,   0.65,   0.71
19400829,  -1.10,   0.63,  -0.25,  -0.46,  -0.36,   0.05,  -0.58,   0.20,  -0.15,  -0.38
19400830,   5.03,   3.99,   1.99,   2.34,   2.84,   1.77,   1.83,   1.09,   0.87,   0.97
19400831,   2.05,   2.22,   1.15,   1.05,   0.57,   0.66,   0.61,   0.37,   0.30,   0.38
19400903,   0.71,  -0.48,   0.95,   0.24,   0.41,   0.48,   0.69,  -0.03,   0.47,   0.04
19400904,   4.97,   4.80,   1.85,   1.61,   2.35,   2.24,   1.44,   1.95,   0.51,   1.25
19400905,   5.67,   4.36,   3.42,   2.15,   2.65,   1.80,   1.80,   0.89,   1.53,   1.40
19400906,  -1.18,  -2.26,   0.22,  -1.04,  -1.03,  -0.34,  -0.27,  -0.45,  -0.15,   0.16
19400907,   1.20,  -0.04,  -0.82,   0.26,  -0.42,  -0.27,  -0.33,  -0.24,   0.05,  -0.11
19400909,  -5.70,  -5.39,  -4.85,  -3.32,  -2.70,  -2.77,  -2.28,  -2.20,  -1.18,  -2.41
19400910,  -0.56,   0.33,  -0.15,   0.61,   0.32,   0.12,  -0.36,  -0.36,  -0.16,  -0.31
19400911,  -1.43,  -0.80,  -0.71,  -1.04,  -0.92,  -0.60,  -0.56,  -0.26,  -0.18,  -1.10
19400912,  -2.10,  -1.80,  -1.40,  -1.59,  -1.86,  -1.12,  -1.18,  -0.95,  -0.76,  -0.69
19400913,   0.20,   0.52,   0.90,  -0.69,   0.71,  -0.31,  -0.34,   0.32,   0.05,   0.44
19400914,   1.67,   1.61,   0.50,   0.40,   0.43,   0.43,   0.41,   0.71,   0.65,   0.24
19400916,   1.89,   1.14,   0.84,   1.19,   0.10,   0.92,   0.75,   0.53,   0.51,   0.72
19400917,   0.89,   1.10,   0.85,   1.06,   1.61,   0.56,   1.16,   0.93,   0.18,   0.76
19400918,   1.10,   1.18,   0.21,   0.32,   1.34,   0.85,   0.71,   0.81,   0.33,   0.91
19400919,  -1.06,  -0.94,   0.54,   0.55,  -0.38,   0.19,   0.29,  -0.28,  -0.23,  -0.21
19400920,  -0.71,   0.21,   0.24,  -0.03,  -0.32,  -0.38,   0.13,   0.35,  -0.06,   0.38
19400921,   1.66,   1.38,   1.31,   0.98,   0.91,   0.64,   0.57,   0.36,   0.45,   0.40
19400923,   3.10,   4.12,   3.74,   2.19,   2.58,   2.04,   2.26,   1.84,   1.03,   1.45
19400924,  -1.56,  -1.05,   0.02,   0.15,  -0.95,  -0.43,  -0.04,  -0.17,   0.07,  -0.35
19400925,  -0.16,  -0.10,  -0.27,   0.35,  -0.10,  -0.16,  -0.14,  -0.30,  -0.14,   0.00
19400926,  -1.75,  -1.34,  -0.95,  -0.80,  -0.94,  -0.55,  -0.55,  -0.26,  -0.35,  -1.08
19400927,  -3.42,  -2.79,  -3.69,  -3.23,  -1.70,  -1.29,  -1.14,  -0.93,  -1.18,  -2.08
19400928,   1.15,   0.91,   0.52,   0.73,   0.23,   0.66,   0.38,   0.73,   0.48,   1.25
19400930,   0.80,   1.58,   0.35,   0.46,  -0.21,   0.30,   0.12,  -0.09,   0.46,   0.41
19401001,   3.36,   2.33,   1.71,   1.98,   1.32,   1.25,   0.74,   1.02,   0.83,   1.56
19401002,   2.17,   1.38,   0.90,   0.62,   0.87,   0.75,   0.39,  -0.02,   0.11,   0.43
19401003,  -1.08,   0.01,  -0.48,  -0.72,   0.17,  -0.10,   0.42,   0.16,   0.45,   0.34
19401004,  -0.40,  -1.66,  -1.13,  -0.82,  -0.63,  -0.69,  -0.53,  -0.45,  -0.72,  -0.32
19401005,  -0.18,   0.43,   0.00,  -0.01,   0.09,   0.19,   0.06,  -0.05,   0.22,   0.24
19401007,  -1.83,  -0.56,  -0.91,  -0.35,  -0.63,  -0.27,  -0.42,  -0.77,  -0.11,  -0.49
19401008,  -2.97,  -2.51,  -2.24,  -2.37,  -1.64,  -1.20,  -1.30,  -1.29,  -0.81,  -1.40
19401009,  -0.16,  -1.52,  -0.83,  -0.73,  -1.12,  -0.68,  -0.08,  -0.96,  -0.10,   0.05
19401010,   0.86,   1.04,   0.72,   0.41,  -0.44,  -0.25,  -0.11,  -0.07,  -0.15,   0.12
19401011,   1.00,   1.00,   0.86,   0.23,   0.89,   0.67,   0.61,   0.23,   0.24,   0.67
19401014,  -0.29,  -0.10,   0.08,   0.16,  -0.15,  -0.60,  -0.10,  -0.48,  -0.18,  -0.70
19401015,  -0.04,   0.74,   0.79,   0.16,   1.01,   0.91,   0.39,   0.15,   0.23,   0.37
19401016,   1.33,   1.42,   1.35,   0.96,   0.58,   0.19,   0.18,   0.34,   0.52,   1.28
19401017,   0.53,   1.19,   0.90,   0.13,   0.78,   0.55,   0.14,   0.67,  -0.15,   0.86
19401018,   0.51,   0.34,  -0.02,  -0.85,  -0.02,  -0.15,   0.28,   0.34,   0.12,  -0.55
19401019,   0.15,   0.01,  -0.13,   0.05,  -0.39,  -0.34,   0.09,  -0.09,  -0.07,   0.52
19401021,  -0.80,  -0.58,  -0.79,  -0.48,  -0.41,  -0.31,  -0.43,  -0.84,  -0.17,   0.25
19401022,   0.25,   0.54,   0.22,   0.63,   0.46,   0.49,   0.48,   0.45,   0.44,   0.21
19401023,   2.30,   1.55,   1.79,   0.86,   0.96,   0.66,   0.48,  -0.04,   0.18,   0.54
19401024,  -1.18,  -0.30,  -0.29,  -0.76,  -0.65,  -0.61,  -0.57,  -0.52,  -0.34,  -0.58
19401025,   0.38,   0.28,   0.11,   0.04,  -0.22,  -0.03,  -0.07,  -0.10,   0.17,  -0.24
19401026,   1.40,   1.02,   1.42,   0.98,   1.21,   0.99,   0.61,   0.48,   0.41,   0.64
19401028,  -1.00,   0.24,  -0.26,  -0.04,  -0.68,  -0.43,  -0.31,  -0.17,  -0.07,  -0.34
19401029,  -0.08,   0.35,  -0.09,   0.36,   0.27,   0.20,   0.24,   0.27,   0.36,   0.55
19401030,   1.69,   1.53,   2.36,   1.53,   0.34,   0.22,   0.78,   0.15,   0.60,   0.26
19401031,   2.89,   2.32,   2.16,   2.47,   0.93,   0.92,   1.34,   0.64,   1.17,   1.30
19401101,  -0.34,   1.00,  -1.37,   0.05,   0.80,   0.20,   0.40,  -0.14,   0.26,  -0.16
19401102,   0.31,   1.40,   0.82,   0.28,   0.48,   0.10,   0.36,   0.31,  -0.11,  -0.28
19401104,   0.75,   0.77,   0.28,   0.46,   0.25,   0.58,   0.24,   0.09,   0.17,   0.27
19401106,  -5.53,  -5.66,  -4.19,  -5.39,  -3.56,  -2.54,  -2.33,  -1.80,  -1.81,  -2.33
19401107,   8.40,   8.15,   8.54,   7.04,   5.37,   3.11,   4.89,   3.66,   4.19,   5.37
19401108,   0.21,   0.25,  -0.78,  -0.68,  -0.85,  -0.93,  -0.60,  -0.39,  -0.63,  -1.34
19401109,   3.00,   2.15,   2.61,   1.12,   1.47,   1.45,   0.59,   1.02,   1.60,   2.17
19401112,  -0.39,  -1.72,  -0.41,  -0.89,  -0.61,  -0.44,  -0.18,  -0.26,  -0.22,  -0.67
19401113,  -0.28,   0.25,  -0.13,  -0.81,  -0.25,  -0.92,  -0.49,  -0.12,  -0.68,   0.25
19401114,   2.50,   2.21,   1.54,  -0.08,   1.01,   0.35,   0.30,  -0.17,   0.54,   0.01
19401115,  -1.74,  -1.37,  -1.15,  -1.04,  -1.22,   0.00,  -1.34,  -0.84,  -1.09,  -1.68
19401116,  -1.95,  -1.54,  -1.25,  -0.47,  -0.14,  -0.21,  -0.12,  -1.86,  -1.22,  -1.06
19401118,  -1.45,  -0.23,   0.34,   0.13,   0.11,  -0.12,  -0.12,   0.04,   0.37,   0.13
19401119,  -0.55,   0.10,   0.02,  -0.43,  -0.65,   0.26,  -0.20,   0.26,   0.02,  -0.07
19401120,  -2.98,  -2.49,  -2.20,  -1.27,  -1.91,  -2.07,  -1.35,  -1.54,  -2.07,  -2.24
19401122,   0.70,   0.43,   0.19,  -0.37,  -0.74,   0.20,   0.34,   0.38,   0.67,   1.03
19401123,  -0.25,   0.02,  -0.43,  -0.26,   0.20,  -0.24,   0.16,  -0.02,  -0.12,   0.08
19401125,  -0.67,  -0.72,  -0.76,   0.24,  -0.22,   0.15,  -0.01,   0.21,   0.40,   0.41
19401126,  -0.63,  -0.41,   0.56,  -0.37,  -0.34,  -0.22,  -0.22,  -0.33,  -0.62,  -0.90
19401127,  -2.99,  -3.05,  -1.84,  -1.28,  -1.29,  -1.32,  -1.13,  -1.98,  -2.53,  -3.39
19401128,   0.61,   0.12,   1.24,  -0.04,   0.08,  -0.02,   0.19,   0.09,   0.69,   0.87
19401129,  -0.31,   0.42,  -0.64,  -0.07,   0.36,  -0.08,   0.41,   0.06,   0.11,   0.11
19401130,   0.86,   0.70,   0.21,   0.60,   0.51,   0.67,   0.44,   0.59,   0.37,   1.37
19401202,  -0.36,  -0.85,  -0.49,  -0.05,   0.22,   0.34,  -0.18,   0.02,   0.23,   0.03
19401203,  -0.37,  -0.66,  -0.76,  -0.42,   0.20,  -0.39,  -0.08,  -0.24,  -0.36,  -0.72
19401204,  -0.27,   0.11,   0.11,  -0.52,   0.37,  -0.14,  -0.07,   0.09,  -0.24,   0.25
19401205,  -0.03,  -0.32,  -0.62,  -0.40,  -0.35,   0.01,  -0.43,  -0.50,   0.05,  -0.18
19401206,  -0.64,  -0.75,   0.54,   0.45,   0.00,   0.55,   0.06,   0.35,   0.74,   0.29
19401207,   1.10,   0.19,   0.53,   0.72,   0.72,   0.75,   0.54,   0.90,   1.32,   1.73
19401209,   0.16,  -0.47,  -0.33,   0.18,   0.26,  -0.09,   0.29,   0.29,   0.39,   0.23
19401210,  -0.58,  -0.53,  -0.26,  -0.13,  -0.01,   0.44,   0.06,   0.13,  -0.44,  -0.53
19401211,   0.35,   0.34,   0.45,   0.36,   0.21,   0.08,   0.14,   0.25,   0.66,   1.15
19401212,   0.25,   0.33,   0.66,   0.01,   0.28,   0.27,   0.24,   0.11,   0.18,   0.44
19401213,   1.54,   0.80,   0.27,   0.37,   0.11,   0.09,  -0.03,   0.42,   0.04,   0.09
19401214,   0.61,  -0.12,  -0.17,  -0.29,   0.07,  -0.04,   0.36,  -0.15,  -0.21,  -0.62
19401216,  -0.94,  -0.54,  -0.47,  -0.83,  -0.93,  -0.75,  -0.79,  -0.69,  -0.92,  -1.08
19401217,  -1.32,  -0.10,  -0.82,  -0.74,  -0.56,  -0.44,  -0.04,  -0.63,  -0.10,  -0.03
19401218,  -2.28,  -0.67,  -0.67,  -0.77,  -0.19,  -0.79,  -0.53,  -0.72,  -0.96,  -1.67
19401219,   0.41,  -0.23,   0.14,  -0.19,  -1.08,  -0.49,  -0.24,  -0.23,  -0.41,  -0.31
19401220,   0.28,  -0.19,  -0.02,  -0.25,   0.11,   0.41,  -0.10,   0.10,   0.23,   0.59
19401221,  -0.11,   0.02,  -0.03,   0.10,  -0.11,   0.06,   0.29,   0.06,   0.17,   0.69
19401223,  -1.35,  -0.74,  -0.52,  -0.32,   0.05,   0.02,  -0.59,  -0.37,  -0.56,  -0.52
19401224,  -0.33,   0.23,   0.43,   1.02,   0.33,   0.27,   0.09,   0.49,   0.43,   0.75
19401226,  -0.38,   0.07,  -0.54,   0.31,  -0.17,   0.11,  -0.24,  -0.23,  -0.11,  -0.12
19401227,   0.28,   0.59,   0.44,   0.17,   0.01,   0.22,   0.23,   0.94,   1.00,   0.44
19401228,   0.42,   0.14,   0.87,   0.43,   0.24,   0.37,   0.22,   0.40,   0.50,   0.57
19401230,   2.34,   1.09,   0.95,   0.71,   0.03,   1.16,   0.39,   0.61,   0.66,   0.61
19401231,  -0.12,   0.96,   1.53,   0.43,   0.54,  -0.05,  -0.94,   0.35,   0.54,  -0.24
19410102,   2.27,  -0.20,   0.40,   0.24,   0.07,  -0.23,  -1.78,  -0.17,  -0.07,  -1.15
19410103,   1.46,   0.66,   2.46,   1.11,   0.80,   0.77,   2.66,   0.47,   0.77,   2.10
19410104,   1.93,   0.68,   0.38,   0.96,   0.08,   0.47,   0.08,  -0.06,  -0.02,  -0.32
19410106,   0.93,   0.60,   0.31,   0.98,   0.24,   0.19,   0.34,   0.19,   0.28,  -0.28
19410107,  -1.05,  -0.04,   0.20,  -0.21,   0.21,   0.03,  -0.37,  -0.25,  -0.40,  -0.48
19410108,   2.39,   0.53,   0.60,  -0.06,   0.14,   0.18,   0.94,   0.06,   0.52,   0.32
19410109,   3.62,   1.03,   0.68,   0.91,   0.17,   0.19,   0.20,   0.41,   1.15,   0.73
19410110,   1.25,   0.64,   0.25,   0.63,   0.19,   0.10,   0.06,   0.12,   0.19,   0.15
19410111,   0.31,  -0.14,   0.04,  -0.03,  -0.20,   0.01,  -0.30,  -0.35,  -0.16,  -0.88
19410113,   0.15,  -0.10,  -0.60,  -0.05,  -0.06,  -0.22,  -0.02,  -0.20,   0.05,   0.40
19410114,  -1.08,  -0.45,  -0.28,  -0.35,  -0.21,  -0.29,  -0.57,  -0.63,  -0.72,  -0.85
19410115,  -0.33,  -0.35,  -0.31,  -1.07,  -0.82,  -0.65,  -0.30,  -0.45,  -0.57,  -0.24
19410116,  -1.65,  -1.18,  -1.29,  -1.34,  -1.57,  -1.11,  -0.60,  -1.40,  -1.76,  -2.03
19410117,   0.76,  -0.30,   0.15,   0.01,  -0.28,  -0.10,  -0.60,  -0.16,  -0.01,  -0.23
19410118,   0.06,  -0.51,   0.14,  -0.71,   0.69,   0.27,  -0.14,  -0.03,   0.20,   0.06
19410120,   0.56,  -0.71,  -0.09,  -0.21,  -0.13,  -0.50,  -0.36,  -0.17,  -0.38,   0.01
19410121,   0.12,  -0.73,  -0.85,  -0.49,  -0.71,  -1.00,  -1.40,  -0.27,  -1.20,  -0.60
19410122,   0.52,   0.42,   0.95,   0.14,   0.41,   0.28,   0.67,   0.22,   0.86,   0.99
19410123,   0.61,   0.56,  -0.13,   0.63,   0.05,  -0.17,  -0.87,   0.06,   0.27,   0.13
19410124,   0.86,  -0.29,  -0.05,   0.29,  -0.25,   0.33,   0.37,   0.26,   0.06,   0.19
19410125,   0.27,  -0.27,   0.30,   0.28,   0.21,   0.05,   0.52,   0.27,   0.08,   0.41
19410127,   0.15,   0.25,  -0.30,  -0.12,  -0.02,   0.21,  -0.03,  -0.02,   0.15,  -0.01
19410128,  -2.18,  -0.77,  -0.02,  -0.34,  -0.24,  -0.51,  -0.43,  -0.35,  -1.19,  -0.26
19410129,  -2.07,  -1.79,  -1.56,  -1.52,  -1.79,  -1.78,  -2.08,  -1.04,  -2.15,  -2.98
19410130,  -1.99,  -1.94,  -1.97,  -1.41,  -1.06,  -1.33,  -1.79,  -1.02,  -2.52,  -2.68
19410131,  -0.84,   0.15,   0.86,   0.15,   0.39,  -0.08,  -0.10,  -0.20,  -0.04,   0.08
19410201,  -1.68,  -0.86,  -0.94,  -0.79,  -0.52,  -0.46,  -0.41,  -0.51,  -0.19,  -0.97
19410203,  -0.68,  -0.47,  -1.03,  -0.51,  -0.20,  -0.71,  -0.04,  -0.89,  -0.65,  -0.55
19410204,   0.90,   0.42,   0.40,   0.08,   0.13,  -0.49,  -0.28,  -0.46,  -0.01,   0.23
19410205,   2.47,   1.45,   1.68,   0.78,   0.77,   1.67,   1.72,   1.56,   1.96,   2.15
19410206,  -0.13,   0.42,   0.12,   0.12,   0.05,   0.57,   0.57,   0.78,   0.26,   0.46
19410207,   1.14,  -0.11,   0.19,  -0.36,  -0.09,   0.07,  -0.26,  -0.27,  -0.41,  -0.59
19410208,   0.06,  -0.11,  -0.31,   0.25,   0.27,   0.39,   0.03,   0.14,   0.18,   0.53
19410210,  -1.36,   0.13,   0.04,  -0.18,  -0.33,   0.31,  -0.99,  -0.17,  -0.58,   0.45
19410211,  -1.99,  -2.17,  -1.09,  -0.78,  -1.27,  -1.33,  -1.02,  -0.45,  -1.04,  -1.89
19410213,  -2.76,  -1.83,  -1.19,  -1.64,  -1.41,  -1.24,  -1.25,  -1.02,  -1.51,  -1.84
19410214,  -2.33,  -3.24,  -2.20,  -2.37,  -2.93,  -2.95,  -3.40,  -1.78,  -2.42,  -3.94
19410215,   1.04,   0.29,   0.43,   0.76,   0.64,   0.49,   0.48,   0.14,   0.09,   0.55
19410217,   1.57,   0.71,   0.76,  -0.18,   0.69,   0.65,   0.69,   0.42,   0.09,   0.81
19410218,  -2.32,  -0.85,  -0.33,  -0.48,  -0.07,  -0.19,  -0.36,  -0.44,   0.05,  -0.12
19410219,  -1.28,  -1.37,  -0.90,  -0.74,  -1.12,  -0.82,  -0.99,  -1.07,  -1.10,  -0.98
19410220,   3.58,   2.62,   0.94,   1.51,   2.16,   1.19,   2.01,   0.95,   1.41,   2.24
19410221,  -0.79,   0.63,   0.31,   0.24,   0.60,   0.32,   1.21,   0.48,   0.32,   0.40
19410224,   0.46,   0.89,   1.09,   0.69,   0.87,   0.56,   0.50,   1.03,   1.21,   1.08
19410225,   1.66,   0.82,   0.60,   0.73,   0.29,   1.31,   0.56,   0.24,   0.40,   0.88
19410226,   0.18,   0.67,   0.55,  -0.15,  -0.04,  -0.54,   0.48,   0.40,   0.12,   0.17
19410227,  -0.50,  -0.50,  -0.75,  -0.13,   0.12,  -0.41,  -0.48,  -0.62,  -0.49,  -0.01
19410228,   3.65,   0.95,   1.64,   0.13,   0.51,   0.22,   0.19,   0.37,  -0.11,   0.92
19410301,  -1.17,  -0.16,  -0.31,  -0.25,  -0.22,  -0.07,  -0.35,   0.01,  -0.12,  -0.66
19410303,  -3.38,  -1.74,  -0.64,  -0.60,  -1.17,  -0.60,  -0.50,  -0.26,  -0.79,  -1.75
19410304,   0.69,   1.21,   0.07,   0.37,   0.51,   0.08,   0.26,   0.34,   0.53,   0.65
19410305,   0.31,  -0.15,   0.13,  -0.56,  -0.64,  -0.21,  -0.39,   0.04,  -0.89,  -0.14
19410306,   1.87,   0.80,   0.79,   1.39,   1.73,   0.96,   1.18,   1.09,   2.06,   1.47
19410307,  -0.26,  -0.17,   0.36,  -0.14,  -0.59,  -0.12,  -0.16,  -0.09,  -0.38,  -0.48
19410308,   0.38,   0.59,  -0.06,   0.15,   0.23,   0.09,  -0.24,  -0.22,  -0.04,  -0.01
19410310,   1.93,   2.68,   1.09,   1.48,   1.90,   1.35,   1.22,   1.77,   1.95,   1.60
19410311,  -0.74,  -0.74,  -0.84,  -0.35,  -0.89,  -0.30,   0.02,  -0.28,  -0.11,  -0.92
19410312,  -1.24,  -0.58,  -0.03,  -0.07,  -0.11,  -0.05,  -0.14,  -0.23,  -0.06,   0.24
19410313,   0.13,  -0.76,  -0.36,  -0.33,  -0.27,  -0.29,  -0.76,  -0.42,   0.00,  -0.55
19410314,   0.43,   0.31,   0.04,  -0.04,   0.21,  -0.09,   0.58,  -0.04,   0.28,   0.29
19410315,   1.24,   0.69,   0.84,   0.26,   0.36,   0.68,   0.54,   0.77,   0.14,   0.76
19410317,  -0.43,  -0.18,   0.08,  -0.07,   0.10,  -0.24,   0.11,   0.13,  -0.31,   0.41
19410318,   0.31,   0.21,   0.28,   0.21,   0.12,   0.14,   0.20,   0.02,   0.17,   0.06
19410319,  -0.57,  -0.27,   0.01,   0.15,  -0.40,  -0.30,  -0.37,  -0.59,   0.02,  -0.12
19410320,   0.26,  -0.44,   0.20,   0.02,   0.19,  -0.13,  -0.18,  -0.16,   0.46,  -0.10
19410321,  -1.63,  -0.67,  -0.62,  -0.73,  -0.77,  -0.51,  -0.99,  -0.30,  -1.06,  -1.36
19410322,  -0.65,  -0.88,  -0.23,  -0.27,  -0.37,  -0.27,  -0.69,  -0.61,  -0.19,  -0.68
19410324,  -0.42,   0.38,   0.66,   0.03,   0.21,   0.36,   0.52,   0.02,   0.58,   0.57
19410325,  -1.00,   0.26,   0.15,  -0.01,   0.53,   0.52,   0.49,   0.05,   0.19,   0.77
19410326,   0.71,  -0.40,  -0.78,  -0.12,  -0.03,   0.01,  -0.36,   0.08,  -0.36,   0.68
19410327,   0.23,   0.63,   0.55,   0.46,   0.68,   0.39,   0.38,   1.32,   0.41,   0.97
19410328,  -0.79,  -0.84,  -0.34,  -0.39,  -0.71,  -0.70,  -0.89,  -0.64,  -0.13,  -0.40
19410329,   0.20,   0.09,  -0.09,   0.39,  -0.50,  -0.08,   0.13,   0.26,   0.43,  -0.41
19410331,   1.33,   0.29,   0.25,   0.07,   0.12,   0.29,   0.52,   0.49,  -0.27,   0.33
19410401,  -0.32,   0.07,   0.35,   0.07,   0.46,  -0.20,   0.11,   0.01,   0.29,   0.60
19410402,  -0.81,   0.10,   0.19,   0.16,  -0.11,   0.97,   0.40,   0.08,   0.29,   0.52
19410403,   1.74,   1.11,   0.71,   1.81,   0.57,   1.22,   1.63,   2.34,   2.28,   3.35
19410404,  -0.22,   0.46,  -0.13,   0.20,  -0.23,  -0.25,  -0.22,  -0.01,   0.02,   0.31
19410405,  -0.15,  -0.05,  -0.05,  -0.22,  -0.28,  -0.46,  -0.47,  -0.55,  -0.94,  -0.69
19410407,  -1.15,  -0.46,  -0.08,  -0.61,  -0.23,  -0.70,  -0.88,  -0.46,  -0.86,  -0.58
19410408,  -1.69,  -1.82,  -1.20,  -1.67,  -1.22,  -2.03,  -3.30,  -2.93,  -3.53,  -3.89
19410409,  -0.78,  -1.35,  -1.48,  -1.42,  -0.86,  -1.12,  -0.71,  -1.20,  -0.77,  -0.76
19410410,  -0.44,  -0.20,   0.01,  -0.30,  -0.18,  -0.01,  -0.29,   0.28,  -0.37,  -0.27
19410412,  -0.67,  -0.66,  -0.65,  -0.90,  -1.28,  -1.14,  -1.10,  -0.52,  -1.17,  -1.27
19410414,  -0.73,   0.08,   0.23,  -0.23,   0.40,   0.17,   0.80,  -0.39,  -0.07,   1.55
19410415,  -0.90,  -0.42,  -0.03,  -0.36,  -0.04,  -0.49,  -0.76,  -0.26,  -0.54,  -0.38
19410416,  -0.87,  -0.33,   0.19,   0.23,  -0.01,  -0.10,   0.03,   0.04,   0.15,   0.79
19410417,  -0.43,   0.19,  -0.29,  -0.57,  -0.03,  -0.31,   0.01,  -0.31,   0.61,   0.65
19410418,  -2.56,  -1.08,  -0.96,  -1.29,  -1.41,  -1.41,  -1.54,  -1.37,  -1.48,  -2.74
19410419,  -0.01,  -0.14,  -0.19,  -0.06,  -0.39,  -0.50,  -0.30,  -0.21,  -0.60,  -0.23
19410421,  -1.18,  -0.53,  -0.35,  -0.43,  -0.11,   0.26,  -0.18,  -0.64,  -0.50,  -0.35
19410422,   0.56,  -0.42,  -0.32,   0.14,  -0.50,  -0.44,  -0.28,   0.00,  -0.09,   0.45
19410423,  -0.25,   0.10,   0.56,   0.21,   0.95,   0.35,   1.50,   0.93,   0.88,   1.26
19410424,   0.32,   0.26,   0.63,   0.80,   0.50,   1.12,   1.00,   0.61,   1.77,   0.93
19410425,   0.02,  -0.25,  -0.49,  -0.65,  -0.75,  -0.78,  -0.70,  -0.36,  -0.85,  -0.97
