,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
19270107,  -0.43,   0.00,   0.02,   0.04,   0.10,   0.34,   0.28,   0.54,   0.48,   0.43
19270108,   1.23,   0.54,   0.72,  -0.22,   0.23,   1.09,   0.18,   0.31,   0.23,   0.56
19270110,   0.39,  -0.09,   0.65,   0.27,   0.06,  -0.24,   0.22,   0.49,   0.34,   0.23
19270111,  -1.12,  -0.25,  -0.21,  -0.31,  -0.41,  -0.23,  -0.21,  -0.14,  -0.16,  -0.73
19270112,  -2.17,  -0.46,  -0.17,   0.45,  -0.14,   0.37,   0.07,  -0.04,   0.10,   0.16
19270113,   0.04,  -0.39,  -0.14,   1.10,   0.04,  -0.24,  -0.13,  -0.14,  -0.05,  -0.44
19270114,  -0.79,  -0.77,  -0.39,   0.14,  -0.09,   0.21,  -0.02,   0.18,   0.47,  -0.41
19270115,   0.22,  -0.28,  -0.97,  -0.04,   0.33,   0.07,   0.34,   0.25,   0.30,  -0.04
19270117,  -1.79,  -0.66,   0.86,   0.07,  -0.21,   0.12,   0.15,   0.08,  -0.16,  -0.73
19270118,   0.29,   0.49,  -0.55,   0.24,  -0.19,   0.00,  -0.14,  -0.08,   0.03,  -0.15
19270119,   1.66,   0.52,   1.48,   0.41,   0.99,   0.39,   0.18,   0.72,   0.58,   1.21
19270120,  -0.40,  -0.38,  -0.20,  -0.20,  -0.75,  -0.26,  -0.16,   0.12,  -0.16,   0.10
19270121,   0.20,   1.91,  -0.48,  -0.09,  -0.26,   0.22,   0.14,  -0.09,  -0.15,   0.17
19270122,  -0.09,  -0.57,  -1.76,  -0.56,  -0.43,  -0.14,  -0.11,  -0.22,  -0.19,  -0.83
19270124,   0.21,  -1.01,  -0.62,  -0.76,  -0.26,  -0.52,  -0.35,  -0.32,  -0.59,  -0.59
19270125,  -2.62,  -0.83,  -1.04,  -1.15,  -1.01,  -0.40,  -1.18,  -1.92,  -1.31,  -0.53
19270126,  -0.78,   0.37,   0.38,  -0.04,   0.21,   0.05,   0.09,   0.36,   0.33,   0.66
19270127,   0.27,   0.92,  -0.83,  -0.13,  -0.65,  -0.19,  -0.40,  -0.56,  -0.40,  -0.02
19270128,   0.59,   0.31,   0.04,   0.13,  -0.08,   0.13,   0.31,   0.22,   0.12,   0.38
19270129,  -0.64,   0.56,   0.92,   0.43,   0.13,   0.51,   0.77,   1.20,   0.87,   1.49
19270131,  -0.93,   0.62,   0.58,   0.38,   0.51,   0.64,   0.31,   0.56,   0.66,   1.14
19270201,   1.28,   0.13,  -0.09,   0.14,   0.14,   0.23,  -0.20,  -0.18,  -0.10,  -0.07
19270202,   0.09,   0.34,   1.42,   0.58,   0.53,   0.63,   0.68,   0.60,   0.77,   1.28
19270203,  -0.14,   0.08,  -0.46,   0.39,   0.15,   0.21,   0.50,   0.11,   0.19,   0.49
19270204,   0.70,   0.03,   2.83,   0.19,   0.45,   0.01,   0.25,   0.16,   0.18,  -0.12
19270205,   0.31,  -0.06,  -0.17,  -0.15,  -0.01,  -0.27,  -0.24,   0.04,  -0.14,  -0.33
19270207,   0.28,   1.45,  -0.46,  -0.80,   0.14,  -0.05,  -0.25,  -0.04,   0.08,  -0.08
19270208,   0.95,   0.98,  -0.32,  -0.18,   0.17,  -0.04,   0.43,   0.09,   0.17,  -0.08
19270209,   0.66,   0.21,   0.18,   0.02,  -0.11,   0.05,  -0.18,   0.10,   0.53,  -0.25
19270210,   0.18,   0.09,   0.55,   0.00,  -0.17,   0.11,   0.26,   0.46,  -0.43,   0.11
19270211,  -0.25,   0.52,   0.53,   0.35,  -0.04,   0.05,   0.60,   0.97,   0.29,   0.38
19270214,  -0.08,   0.47,   0.69,   0.53,   0.57,   0.44,   0.22,   0.27,   0.48,   1.33
19270215,  -0.62,   0.44,  -0.31,   0.38,   0.41,   0.50,  -0.40,   0.01,   0.19,  -0.22
19270216,   0.16,   0.14,  -0.69,  -0.16,  -0.06,   0.25,   0.03,   0.43,  -0.01,  -0.55
19270217,   0.85,   0.04,  -0.78,   0.38,   0.02,   0.42,   0.60,   0.54,   0.11,   0.61
19270218,  -1.10,  -0.41,   0.00,   0.04,   0.25,   0.70,   0.54,   0.07,   0.23,   0.18
19270219,   2.73,   0.11,  -0.37,  -0.13,  -0.05,   0.24,  -0.33,   0.35,  -0.16,  -0.01
19270221,  -0.06,  -0.32,   0.05,   0.22,   0.17,  -0.29,  -0.60,   0.11,  -0.46,  -0.02
19270223,   1.43,   1.36,   0.41,   0.99,   0.62,   0.27,   0.66,   1.18,   0.88,   1.59
19270224,  -0.64,   0.58,   0.33,  -0.07,   0.28,   0.06,   0.12,   0.38,  -0.10,   0.21
19270225,   1.13,   1.03,   0.28,   0.34,   0.12,   0.56,  -0.07,   0.10,  -0.14,   0.70
19270226,  -0.20,   0.32,   0.07,  -0.02,   0.06,   0.04,  -0.02,  -0.09,   0.05,   0.59
19270228,  -0.12,   0.71,   0.24,   0.49,  -0.10,   0.41,   0.24,   0.40,   0.82,   2.42
19270301,  -0.94,  -0.55,  -0.72,  -1.02,  -0.09,  -0.21,  -0.18,  -0.28,  -0.60,  -0.42
19270302,  -0.94,  -0.83,  -1.25,  -0.90,  -1.13,  -0.63,  -1.14,  -1.16,  -1.29,  -2.26
19270303,   0.39,   0.47,   0.40,   0.82,   0.70,   1.29,   0.82,   0.88,   1.10,   2.41
19270304,   0.41,  -0.37,  -0.23,  -0.46,  -0.29,  -0.83,  -0.35,  -0.46,  -0.35,  -0.46
19270305,   0.63,  -0.57,  -0.60,   0.20,   0.03,  -0.27,  -0.40,  -0.12,  -0.59,  -0.54
19270307,  -0.61,  -0.54,  -0.72,  -0.55,  -0.63,  -0.35,  -0.06,  -0.20,  -0.31,  -0.19
19270308,  -1.08,   0.38,  -0.10,   0.10,   0.04,  -0.02,   0.05,   0.22,   0.15,   0.89
19270309,   0.42,  -0.34,   0.86,   0.52,   0.54,   0.05,   0.35,   0.70,   0.83,   1.04
19270310,  -0.05,   0.68,   0.91,   0.20,   0.22,   0.15,   0.90,   0.43,   1.32,   0.37
19270311,   0.70,   0.19,  -1.02,   0.63,   0.14,   0.24,   0.54,   0.26,   0.11,  -0.01
19270312,   0.39,   0.95,   0.03,  -0.02,  -0.01,   0.12,  -0.33,  -0.24,  -0.03,   0.10
19270314,  -0.34,  -0.79,  -0.45,   0.52,   0.06,  -0.08,   0.24,  -0.10,   0.06,   1.77
19270315,  -0.47,  -0.79,  -1.10,  -0.77,  -0.84,  -0.50,  -1.14,  -0.71,  -1.03,  -0.95
19270316,  -0.76,   0.40,   0.27,   0.41,   0.66,   1.88,   0.57,   1.00,   0.70,   2.23
19270317,   0.16,  -0.23,   0.06,   0.68,   0.33,   0.91,   0.66,   0.15,   0.51,   0.02
19270318,  -0.26,  -0.38,  -0.55,  -0.79,  -0.74,  -1.21,  -0.84,  -0.94,  -0.54,  -0.33
19270319,   1.67,  -0.26,   0.05,  -0.21,  -0.16,   0.37,   0.09,  -0.04,  -0.09,   0.20
19270321,  -2.00,  -0.19,   0.24,   0.10,   0.17,   0.23,   0.35,   0.26,   0.66,  -0.09
19270322,  -1.42,  -0.57,  -0.54,  -0.77,  -0.84,  -0.68,  -1.20,  -0.95,  -1.44,  -2.43
19270323,   0.26,   0.08,   0.09,   0.08,   0.37,   0.19,   0.21,   0.11,   0.74,  -0.05
19270324,  -0.32,   0.11,   0.63,   0.80,   0.57,   0.40,   0.85,   0.87,   0.80,   1.27
19270325,  -0.95,   0.26,   0.07,   0.33,  -0.01,   0.31,   0.06,  -0.07,   0.20,   0.55
19270326,  -0.03,   0.48,   0.96,  -0.12,  -0.02,   0.88,   0.04,   0.12,   0.25,   0.80
19270328,  -0.04,   0.26,  -0.02,   0.07,   0.54,   0.50,   0.26,   0.56,   0.63,   1.65
19270329,  -1.30,  -0.50,  -0.50,  -0.53,  -0.43,  -0.32,  -0.24,  -0.21,   0.28,   0.32
19270330,   0.56,  -1.47,  -1.04,  -0.55,  -0.39,  -0.39,  -0.46,  -0.72,  -0.38,  -0.84
19270331,  -1.08,   0.66,   0.15,   0.27,   0.45,   0.24,   0.26,   0.11,   0.76,   0.16
19270401,   0.13,  -0.59,  -0.74,  -0.01,   0.34,  -0.05,  -0.05,   0.26,  -0.13,   0.04
19270402,   0.67,  -0.69,  -0.28,  -0.10,   0.28,   0.04,   0.18,  -0.33,  -0.02,  -0.52
19270404,  -0.15,  -0.27,   0.25,   0.35,   0.29,   1.02,   0.47,   0.77,   0.44,   0.88
19270405,  -0.61,   0.95,   0.85,   0.32,   0.20,   0.24,   0.84,   0.30,   0.62,   2.11
19270406,   1.29,  -0.10,   0.07,   0.04,   0.05,   0.07,  -0.02,   0.58,   0.25,  -0.19
19270407,  -0.78,   0.41,   0.31,  -0.10,   0.35,   0.75,  -0.11,   0.10,   0.14,  -0.06
19270408,   0.58,  -0.22,   0.16,   0.17,  -0.04,  -0.09,   0.34,   0.07,   0.54,   1.84
19270409,  -0.68,   0.06,  -0.64,  -0.12,  -0.03,   0.07,  -0.20,   0.11,   0.33,   0.63
19270411,   1.25,   0.64,  -0.14,   0.08,   0.82,   0.04,   0.06,   0.21,   0.73,  -0.44
